Depth,Jm+Bp,Ti+Sl,Tc,Hs,Mf,Pl,Pi,Am,Ai,Ea,Tq,Mp,Calc,Rs,Ab,As,Ts,Ad,TO,PH,TG,Tt,Ph
128,21,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,62,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,97,1,79,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,174,1,10,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,113,0,28,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,201,4,68,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,122,0,67,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,236,0,13,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,136,3,67,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,183,0,57,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,63,1,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,57,24,111,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,146,14,40,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,196,0,3,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,117,2,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,62,22,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,184,82,81,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,197,47,50,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,112,1,4,8,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,148,3,2,11,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,79,1,4,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,152,0,31,19,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,257,1,3,11,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,308,3,52,60,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,224,0,28,9,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,351,4,6,6,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,428,5,18,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,347,2,14,11,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,359,2,12,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,269,4,28,78,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,489,4,57,54,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,523,8,73,70,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,116,4,47,40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,240,1,65,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,308,1,15,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,303,11,37,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,203,0,17,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,369,11,52,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,507,6,45,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,991,94,158,238,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1004,9,97,87,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,981,3,118,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,640,6,151,91,51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
